Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Comment,Task,Task Status,Task,Task Status,Task,Task Status
135930669,Add member,member crud,1,"Nov 28, 2016","Dec 4, 2016",feature,0,accepted,"Nov 29, 2016","Nov 30, 2016",,Gee Chun Seng,"As a restaurant manager, i want to add new member details into database. So that, restaurant is able to provide benefit only our registered customer.",https://www.pivotaltracker.com/story/show/135930669,,"Commit by AaydenGoh
https://github.com/AaydenGoh/OrderingSystem-Agile-/commit/1b509b805edf85d29fa77a97920d4308ccbabc53

Add files via upload

[(Finishes)#135197185][(Finishes)#135197459][(Finishes)#135197699][(Finishes)#135197791]
[(Finishes)#135198283][(Finishes)#135198165][(Finishes)#135197671][(Finishes)#135197975]
[(Finishes)#135197477][(Finishes)#135198377] (Unknown - Nov 29, 2016)",design add member ui,completed,add member functionality coding,completed,basic validation coding,completed
135930671,Update member details,member crud,1,"Nov 28, 2016","Dec 4, 2016",feature,0,accepted,"Nov 29, 2016","Nov 30, 2016",,Gee Chun Seng,"As a restaurant manager, i want to edit member details. So that, when retrieve member details accurately when send mail to customer.",https://www.pivotaltracker.com/story/show/135930671,,"Commit by AaydenGoh
https://github.com/AaydenGoh/OrderingSystem-Agile-/commit/1b509b805edf85d29fa77a97920d4308ccbabc53

Add files via upload

[(Finishes)#135197185][(Finishes)#135197459][(Finishes)#135197699][(Finishes)#135197791]
[(Finishes)#135198283][(Finishes)#135198165][(Finishes)#135197671][(Finishes)#135197975]
[(Finishes)#135197477][(Finishes)#135198377] (Unknown - Nov 29, 2016)",Edit member details UI,completed,Edit member functionality coding,completed,Basic validation coding,completed
135930673,Check member details,member crud,1,"Nov 28, 2016","Dec 4, 2016",feature,0,accepted,"Nov 29, 2016","Nov 30, 2016",,Gee Chun Seng,"As a restaurant manager, i want to check member details. So that, can analyze member behavior.",https://www.pivotaltracker.com/story/show/135930673,,"Commit by AaydenGoh
https://github.com/AaydenGoh/OrderingSystem-Agile-/commit/1b509b805edf85d29fa77a97920d4308ccbabc53

Add files via upload

[(Finishes)#135197185][(Finishes)#135197459][(Finishes)#135197699][(Finishes)#135197791]
[(Finishes)#135198283][(Finishes)#135198165][(Finishes)#135197671][(Finishes)#135197975]
[(Finishes)#135197477][(Finishes)#135198377] (Unknown - Nov 29, 2016)",Design member list ui,completed,Retrieve member details coding,completed,Basic validation coding,completed
135930675,Delete member module,member crud,1,"Nov 28, 2016","Dec 4, 2016",feature,0,accepted,"Nov 29, 2016","Nov 30, 2016",,Gee Chun Seng,"As a restaurant manager, i want to delete member. So that,  is easy to keep track who is registered member.",https://www.pivotaltracker.com/story/show/135930675,,"Commit by AaydenGoh
https://github.com/AaydenGoh/OrderingSystem-Agile-/commit/1b509b805edf85d29fa77a97920d4308ccbabc53

Add files via upload

[(Finishes)#135197185][(Finishes)#135197459][(Finishes)#135197699][(Finishes)#135197791]
[(Finishes)#135198283][(Finishes)#135198165][(Finishes)#135197671][(Finishes)#135197975]
[(Finishes)#135197477][(Finishes)#135198377] (Unknown - Nov 29, 2016)",Design delete UI,completed,Delete member functionality coding,completed,Basic validation coding,completed
135930677,Search member,member crud,1,"Nov 28, 2016","Dec 4, 2016",feature,0,accepted,"Nov 29, 2016","Nov 30, 2016",,Gee Chun Seng,"As a restaurant manager, i want to search member details. So that, i can save time for searching from large amount of member list.",https://www.pivotaltracker.com/story/show/135930677,,"Commit by AaydenGoh
https://github.com/AaydenGoh/OrderingSystem-Agile-/commit/1b509b805edf85d29fa77a97920d4308ccbabc53

Add files via upload

[(Finishes)#135197185][(Finishes)#135197459][(Finishes)#135197699][(Finishes)#135197791]
[(Finishes)#135198283][(Finishes)#135198165][(Finishes)#135197671][(Finishes)#135197975]
[(Finishes)#135197477][(Finishes)#135198377] (Unknown - Nov 29, 2016)",Design search ui,completed,Search member functionality,completed,Functionality testing,completed
135930679,Search staff details,staff crud,1,"Nov 28, 2016","Dec 4, 2016",feature,0,accepted,"Nov 29, 2016","Nov 30, 2016",,Gee Chun Seng,"As a restaurant manager, I want to search staff information, so that i can save time for searching from a large amount of staff list.",https://www.pivotaltracker.com/story/show/135930679,,"Commit by AaydenGoh
https://github.com/AaydenGoh/OrderingSystem-Agile-/commit/1b509b805edf85d29fa77a97920d4308ccbabc53

Add files via upload

[(Finishes)#135197185][(Finishes)#135197459][(Finishes)#135197699][(Finishes)#135197791]
[(Finishes)#135198283][(Finishes)#135198165][(Finishes)#135197671][(Finishes)#135197975]
[(Finishes)#135197477][(Finishes)#135198377] (Unknown - Nov 29, 2016)",Design search user interface.,completed,Develop search staff functionality.,completed,Functionality testing.,completed
135930687,Add new staff information,staff crud,3,"Dec 12, 2016","Dec 18, 2016",feature,0,accepted,"Nov 29, 2016","Dec 14, 2016",,Gee Chun Seng,"As a restaurant manage, I want to add a new staff information, so that i can assign task effectively according to the information.",https://www.pivotaltracker.com/story/show/135930687,,"Commit by AaydenGoh
https://github.com/AaydenGoh/OrderingSystem-Agile-/commit/1b509b805edf85d29fa77a97920d4308ccbabc53

Add files via upload

[(Finishes)#135197185][(Finishes)#135197459][(Finishes)#135197699][(Finishes)#135197791]
[(Finishes)#135198283][(Finishes)#135198165][(Finishes)#135197671][(Finishes)#135197975]
[(Finishes)#135197477][(Finishes)#135198377] (Unknown - Nov 29, 2016)",Design staff module interface.,completed,Develop the functionality of add staff,completed,Functionality Testing,completed
135930685,Retrieve staff details,staff crud,3,"Dec 12, 2016","Dec 18, 2016",feature,0,accepted,"Nov 29, 2016","Dec 14, 2016",,Gee Chun Seng,"As a restaurant manager, I want to retrieve staff information so that i can know the personal details of a  staff, no need to meet every staff to understand their personalities.",https://www.pivotaltracker.com/story/show/135930685,,"Commit by AaydenGoh
https://github.com/AaydenGoh/OrderingSystem-Agile-/commit/1b509b805edf85d29fa77a97920d4308ccbabc53

Add files via upload

[(Finishes)#135197185][(Finishes)#135197459][(Finishes)#135197699][(Finishes)#135197791]
[(Finishes)#135198283][(Finishes)#135198165][(Finishes)#135197671][(Finishes)#135197975]
[(Finishes)#135197477][(Finishes)#135198377] (Unknown - Nov 29, 2016)",Design retrieve user interface.,completed,Develop functionality of retrieve staff.,completed
135930681,Delete staff details,staff crud,3,"Dec 12, 2016","Dec 18, 2016",feature,0,accepted,"Nov 29, 2016","Dec 14, 2016",,Gee Chun Seng,"As a restaurant manager, I want delete the staff information, so that i do not waste time on the staff information that not longer work in restaurant.",https://www.pivotaltracker.com/story/show/135930681,,"Commit by AaydenGoh
https://github.com/AaydenGoh/OrderingSystem-Agile-/commit/1b509b805edf85d29fa77a97920d4308ccbabc53

Add files via upload

[(Finishes)#135197185][(Finishes)#135197459][(Finishes)#135197699][(Finishes)#135197791]
[(Finishes)#135198283][(Finishes)#135198165][(Finishes)#135197671][(Finishes)#135197975]
[(Finishes)#135197477][(Finishes)#135198377] (Unknown - Nov 29, 2016)",Design delete staff user interface.,completed,Develop delete functionality.,completed,Functionality Testing.,completed
135930683,Update staff detalis,staff crud,3,"Dec 12, 2016","Dec 18, 2016",feature,0,accepted,"Nov 29, 2016","Dec 14, 2016",,Gee Chun Seng,"As a restaurant manager, I want to edit staff information so that I can get the update to date staff information.",https://www.pivotaltracker.com/story/show/135930683,,"Commit by AaydenGoh
https://github.com/AaydenGoh/OrderingSystem-Agile-/commit/1b509b805edf85d29fa77a97920d4308ccbabc53

Add files via upload

[(Finishes)#135197185][(Finishes)#135197459][(Finishes)#135197699][(Finishes)#135197791]
[(Finishes)#135198283][(Finishes)#135198165][(Finishes)#135197671][(Finishes)#135197975]
[(Finishes)#135197477][(Finishes)#135198377] (Unknown - Nov 29, 2016)",Design edit staff user interface.,completed,Develop functionality of staff,completed,Functionality testing.,completed
